               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11258,            0.030257,            0.025829,                   0,                   0,                   0,                   0,            0.072281,            0.024502,            0.019482,              0.0973,              0.0003,              0.0003
                   1,              0.1063,            0.031424,            0.027884,                   0,                   0,                   0,                   0,            0.068101,            0.023338,            0.019569,            0.093677,           0.0006769,           0.0006769
                   2,            0.083206,            0.028503,            0.020229,          0.00080906,                0.05,          0.00048868,           0.0001394,            0.060697,            0.022535,            0.019633,            0.090027,           0.0010274,           0.0010274
                   3,            0.088014,            0.030947,            0.023236,           0.0021532,             0.20556,           0.0018926,          0.00043058,            0.055556,            0.020635,            0.019638,            0.086351,           0.0013515,           0.0013515
                   4,            0.089848,            0.027859,            0.025345,           0.0021454,             0.20556,           0.0046595,          0.00081965,            0.053911,            0.019892,            0.019892,            0.082649,           0.0016492,           0.0016492
                   5,            0.090509,            0.030936,            0.025879,           0.0033404,             0.36667,             0.10953,            0.020836,            0.051227,             0.01962,            0.020835,            0.078921,           0.0019205,           0.0019205
                   6,            0.075194,            0.028935,            0.023263,           0.0033302,             0.36667,            0.040335,            0.028629,            0.047615,            0.018679,             0.01974,            0.075165,           0.0021654,           0.0021654
                   7,            0.078537,            0.031867,            0.027267,           0.0034761,             0.47778,            0.083219,            0.038774,            0.042146,            0.018507,            0.020589,            0.071384,           0.0023839,           0.0023839
                   8,            0.073006,            0.031552,            0.026041,           0.0033504,             0.57778,             0.11255,            0.044453,            0.039622,             0.01782,            0.019777,            0.067576,            0.002576,            0.002576
                   9,            0.065231,            0.030791,            0.023497,            0.014915,             0.62778,             0.13078,            0.059193,            0.039235,            0.017209,            0.019371,            0.063742,           0.0027417,           0.0027417
                  10,            0.074146,             0.03032,            0.021598,             0.33246,             0.24314,             0.31679,             0.11828,             0.03806,            0.016014,            0.018986,            0.059881,            0.002881,            0.002881
                  11,            0.073372,            0.028062,            0.021461,             0.36997,             0.20556,             0.27513,             0.12413,            0.039609,            0.015226,             0.01916,            0.055994,           0.0029939,           0.0029939
                  12,            0.062941,            0.028942,            0.022662,             0.44838,             0.28831,             0.30402,             0.10594,            0.035442,            0.014697,            0.018646,             0.05208,           0.0030804,           0.0030804
                  13,            0.062954,            0.027576,            0.023571,             0.43964,             0.33204,             0.31603,             0.13729,            0.033688,            0.014439,            0.018376,            0.048141,           0.0031405,           0.0031405
                  14,            0.063532,            0.029131,            0.023906,             0.24308,             0.52222,             0.20093,            0.091084,             0.03052,            0.014314,            0.017649,            0.044174,           0.0031742,           0.0031742
                  15,            0.066244,            0.024954,            0.026712,             0.33325,             0.52222,             0.32392,             0.16765,            0.031549,            0.013953,            0.017337,            0.040182,           0.0031815,           0.0031815
                  16,            0.064267,            0.025685,            0.023939,             0.29713,             0.52222,             0.27342,             0.13812,            0.034961,            0.013417,            0.016626,            0.036162,           0.0031624,           0.0031624
                  17,            0.064765,            0.028389,            0.026109,             0.41684,             0.47222,             0.35691,             0.16778,            0.036691,            0.012834,            0.016091,            0.032117,           0.0031169,           0.0031169
                  18,            0.046941,             0.02539,            0.018413,             0.49043,             0.52222,             0.40813,             0.17845,            0.032599,             0.01242,            0.016015,            0.028045,            0.003045,            0.003045
                  19,            0.055525,            0.025806,            0.020085,             0.36301,             0.52222,              0.3462,             0.14684,            0.033673,            0.011952,            0.016296,            0.023947,           0.0029467,           0.0029467
                  20,            0.060817,            0.028133,            0.023139,             0.38341,             0.63333,             0.47427,             0.19063,            0.028201,            0.011531,            0.016453,            0.019822,            0.002822,            0.002822
                  21,            0.046142,            0.025763,             0.01956,              0.3327,             0.56062,             0.38636,             0.16709,            0.030547,            0.011042,            0.016509,            0.015671,           0.0026709,           0.0026709
                  22,            0.056642,            0.025513,            0.020457,             0.35359,             0.68333,             0.50213,             0.19964,            0.026874,            0.010713,            0.015652,            0.011493,           0.0024934,           0.0024934
                  23,            0.046782,            0.023417,            0.018242,             0.32019,             0.89444,             0.50015,             0.17455,            0.028173,            0.010211,            0.015067,           0.0072895,           0.0022895,           0.0022895
                  24,            0.057738,            0.023859,             0.02048,              0.3137,             0.78889,             0.53821,             0.27996,            0.025564,           0.0099083,            0.014606,           0.0030592,           0.0020592,           0.0020592
                  25,            0.052175,            0.024926,            0.019809,             0.45556,             0.78889,             0.62662,             0.32167,            0.022924,           0.0095987,            0.014501,             0.00175,             0.00175,             0.00175
                  26,            0.049442,            0.023083,            0.019637,             0.36405,             0.78083,             0.58147,              0.2738,            0.026871,           0.0092626,            0.014171,             0.00175,             0.00175,             0.00175
                  27,            0.046843,            0.025739,            0.020924,             0.40853,             0.80369,             0.61454,             0.28759,            0.023582,           0.0091269,            0.013968,             0.00142,             0.00142,             0.00142
                  28,            0.047452,             0.02235,            0.019982,             0.53005,             0.83889,             0.71032,             0.34915,            0.021461,           0.0091136,            0.013681,             0.00109,             0.00109,             0.00109
                  29,            0.055324,            0.022502,            0.020983,             0.55794,             0.83889,             0.71413,             0.42142,            0.020762,           0.0089964,            0.013375,             0.00076,             0.00076,             0.00076
